id,prompt,expected_texts,filename,style_preset,description
fruktan_tagesverlauf,"Line graph showing fructan levels throughout the day. X-axis: time of day. Y-axis: fructan level. Curve starts LOW in morning, rises to first peak at midday, dips slightly, then rises to HIGHEST peak in evening.",Fruktan-Tagesverlauf|hoch|niedrig|Morgens|Mittag|Abends,g18_m1_fruktan_tagesverlauf.png,napkin_pencil,Fruktan-Tagesverlauf im Gras
fruktan_temperatur,"Graph showing relationship between temperature and fructan. X-axis: Temperature (Temperatur). Y-axis: Fructan level. Show that fructan is HIGH when temperature is LOW (below 5°C) and LOW when temperature is HIGH.",Fruktan|Temperatur|hoch|niedrig|5°C,g18_m1_fruktan_temperatur.png,napkin_pencil,Zusammenhang Temperatur und Fruktan
fruktan_sonne,"Simple diagram showing: Sun → Photosynthesis → Fructan production. Arrow from sun to grass to fructan molecule symbol.",Sonne|Photosynthese|Fruktan|Gras,g18_m1_fruktan_sonne.png,napkin_pencil,Fruktan-Produktion durch Sonnenlicht
anweiden_zeitplan,"Timeline/calendar showing gradual increase of grazing time. Day 1: 10 min, Day 3: 20 min, Day 7: 30 min, Day 14: 1 hour, Day 21: 2 hours.",Anweiden|Tag 1|Tag 7|Tag 14|Tag 21|10 min|1 Stunde,g18_m1_anweiden_zeitplan.png,napkin_marker,Zeitplan für das Anweiden
anweiden_uhrzeit,"Clock diagram showing best grazing times. Morning (6-10 Uhr): GREEN/SAFE. Midday-Evening (12-18 Uhr): RED/CAUTION.",Beste Weidezeit|Morgens|6-10 Uhr|sicher|Vorsicht,g18_m1_anweiden_uhrzeit.png,napkin_pencil,Beste Uhrzeiten zum Anweiden
gras_hoehe,"Simple grass illustration showing optimal height. Too short (<5cm): danger icon. Optimal (10-15cm): checkmark. Too tall (>20cm): warning.",Grashöhe|optimal|10-15 cm|zu kurz|zu lang,g18_m1_gras_hoehe.png,napkin_pencil,Optimale Grashöhe für Anweiden
risiko_pferd,"Simple horse silhouette with risk factors labeled: Übergewicht (belly area), Hufrehe-Vorgeschichte (hooves), EMS/Cushing (general).",Risikofaktoren|Übergewicht|Hufrehe|EMS|Cushing,g18_m1_risiko_pferd.png,napkin_fineliner,Risikofaktoren bei Pferden
wetter_check,"Weather icons with fructan risk levels: Sunny+Cold = HIGH RISK (red). Cloudy+Warm = LOW RISK (green). Frost = VERY HIGH RISK (red).",Wetter-Check|Fruktan-Risiko|hoch|niedrig|Frost|Sonne,g18_m1_wetter_check.png,napkin_pencil,Wetter und Fruktan-Risiko
checkliste_anweiden,"Checklist format with checkboxes: Wetter geprüft, Grashöhe gecheckt, Weidezeit begrenzt, Pferd beobachtet.",Checkliste|Wetter|Grashöhe|Weidezeit|beobachtet,g18_m1_checkliste.png,napkin_kulli,Anweiden-Checkliste
symptome_hufrehe,"Horse hoof diagram with early warning signs: Wärme (heat), Pulsation, Wendigkeit (reluctance to turn), Trachtenfußung.",Symptome|Hufrehe|Wärme|Pulsation|Früherkennung,g18_m1_symptome_hufrehe.png,napkin_fineliner,Frühe Hufrehe-Symptome erkennen
